item_id,item_type
item_0000,z
item_0001,w
item_0002,x
item_0003,z
item_0004,z
item_0005,w
item_0006,x
item_0007,x
item_0008,z
item_0009,y
item_0010,z
item_0011,z
item_0012,z
item_0013,z
item_0014,w
item_0015,x
item_0016,w
item_0017,w
item_0018,w
item_0019,z
item_0020,y
item_0021,x
item_0022,y
item_0023,w
item_0024,w
item_0025,y
item_0026,y
item_0027,y
item_0028,w
item_0029,w
item_0030,x
item_0031,x
item_0032,w
item_0033,y
item_0034,y
item_0035,x
item_0036,w
item_0037,x
item_0038,x
item_0039,z
item_0040,z
item_0041,z
item_0042,y
item_0043,w
item_0044,w
item_0045,w
item_0046,w
item_0047,z
item_0048,y
item_0049,y
item_0050,z
item_0051,y
item_0052,z
item_0053,w
item_0054,z
item_0055,w
item_0056,w
item_0057,x
item_0058,z
item_0059,x
item_0060,z
item_0061,z
item_0062,x
item_0063,x
item_0064,z
item_0065,y
item_0066,w
item_0067,x
item_0068,w
item_0069,y
item_0070,y
item_0071,y
item_0072,x
item_0073,y
item_0074,x
item_0075,y
item_0076,w
item_0077,w
item_0078,z
item_0079,w
item_0080,z
item_0081,w
item_0082,x
item_0083,w
item_0084,z
item_0085,z
item_0086,y
item_0087,x
item_0088,w
item_0089,y
item_0090,w
item_0091,w
item_0092,y
item_0093,y
item_0094,y
item_0095,y
item_0096,y
item_0097,w
item_0098,y
item_0099,x
item_0100,z
item_0101,y
item_0102,y
item_0103,w
item_0104,y
item_0105,y
item_0106,y
item_0107,w
item_0108,y
item_0109,z
item_0110,w
item_0111,z
item_0112,w
item_0113,y
item_0114,z
item_0115,w
item_0116,x
item_0117,y
item_0118,w
item_0119,x
item_0120,w
item_0121,x
item_0122,y
item_0123,z
item_0124,x
item_0125,w
item_0126,y
item_0127,x
item_0128,w
item_0129,w
item_0130,w
item_0131,x
item_0132,x
item_0133,x
item_0134,z
item_0135,x
item_0136,x
item_0137,x
item_0138,z
item_0139,x
item_0140,w
item_0141,x
item_0142,w
item_0143,w
item_0144,w
item_0145,z
item_0146,z
item_0147,z
item_0148,x
item_0149,w
item_0150,z
item_0151,z
item_0152,x
item_0153,z
item_0154,x
item_0155,y
item_0156,z
item_0157,y
item_0158,x
item_0159,w
item_0160,z
item_0161,x
item_0162,w
item_0163,w
item_0164,y
item_0165,x
item_0166,w
item_0167,z
item_0168,z
item_0169,y
item_0170,w
item_0171,x
item_0172,z
item_0173,w
item_0174,w
item_0175,y
item_0176,z
item_0177,z
item_0178,x
item_0179,z
item_0180,x
item_0181,z
item_0182,y
item_0183,z
item_0184,x
item_0185,x
item_0186,y
item_0187,z
item_0188,z
item_0189,y
item_0190,z
item_0191,z
item_0192,x
item_0193,z
item_0194,z
item_0195,y
item_0196,y
item_0197,w
item_0198,x
item_0199,z
